Depth,Velocity,Power
50,0.5,36.2241879652097
60,0.5,33.0559617143473
70,0.5,30.5127077893939
80,0.5,28.4130588721669
90,0.5,26.6417560956172
100,0.5,25.1374256973841
110,0.5,23.8337688991728
120,0.5,22.6910408548754
130,0.5,21.6805083505831
140,0.5,20.779689743408
150,0.5,19.9362095863247
160,0.5,19.1516472838114
170,0.5,18.4233014458836
180,0.5,17.7357280891377
190,0.5,17.0933504589455
200,0.5,16.4924961227566
50,0.75,122.256634382583
60,0.75,111.563870785922
70,0.75,102.980388789204
80,0.75,95.8940736935633
90,0.75,89.9159268227081
100,0.75,84.8388117286714
110,0.75,80.4389700347081
120,0.75,76.5822628852046
130,0.75,73.1717156832178
140,0.75,70.131452884002
150,0.75,67.284707353846
160,0.75,64.6368095828634
170,0.75,62.1786423798573
180,0.75,59.8580823008399
190,0.75,57.6900577989412
200,0.75,55.6621744143036
50,1,289.793503721677
60,1,264.447693714779
70,1,244.101662315151
80,1,227.304470977335
90,1,213.134048764938
100,1,201.099405579073
110,1,190.670151193382
120,1,181.528326839004
130,1,173.444066804664
140,1,166.237517947264
150,1,159.489676690598
160,1,153.213178270491
170,1,147.386411567069
180,1,141.885824713102
190,1,136.746803671564
200,1,131.939968982053
50,1.25,566.002936956401
60,1.25,516.499401786677
70,1.25,476.761059209279
80,1.25,443.954044877608
90,1.25,416.277438994019
100,1.25,392.772276521627
110,1.25,372.402639049575
120,1.25,354.547513357429
130,1.25,338.75794297786
140,1.25,324.68265224075
150,1.25,311.503274786324
160,1.25,299.244488809553
170,1.25,287.864085091932
180,1.25,277.120751392777
190,1.25,267.083600921024
200,1.25,257.695251918072
50,1.5,978.053075060661
60,1.5,892.510966287378
70,1.5,823.843110313634
80,1.5,767.152589548506
90,1.5,719.327414581665
100,1.5,678.710493829371
110,1.5,643.511760277665
120,1.5,612.658103081637
130,1.5,585.373725465743
140,1.5,561.051623072016
150,1.5,538.277658830768
160,1.5,517.094476662907
170,1.5,497.429139038858
180,1.5,478.864658406719
190,1.5,461.520462391529
200,1.5,445.297395314429
50,1.75,1553.11205900836
60,1.75,1417.27435850264
70,1.75,1308.23234647026
80,1.75,1218.20989914416
90,1.75,1142.26529259959
100,1.75,1077.76712677534
110,1.75,1021.87284155203
120,1.75,972.878376652785
130,1.75,929.551795531249
140,1.75,890.929197748618
150,1.75,854.764986013673
160,1.75,821.126877293413
170,1.75,789.899049492261
180,1.75,760.41934182178
190,1.75,732.87740092729
200,1.75,707.115771263191
50,2,1987.693642
60,2,1987.693642
70,2,1952.81329852121
80,2,1818.43576781868
90,2,1705.0723901195
100,2,1608.79524463258
110,2,1525.36120954706
120,2,1452.22661471203
130,2,1387.55253443732
140,2,1329.90014357811
150,2,1275.91741352478
160,2,1225.70542616393
170,2,1179.09129253655
180,2,1135.08659770482
190,2,1093.97442937251
200,2,1055.51975185642
50,2.25,1987.693642
60,2.25,1987.693642
70,2.25,1987.693642
80,2.25,1987.693642
90,2.25,1987.693642
100,2.25,1987.693642
110,2.25,1987.693642
120,2.25,1987.693642
130,2.25,1975.63632344688
140,2.25,1893.54922786805
150,2.25,1816.68709855384
160,2.25,1745.19385873731
170,2.25,1678.82334425615
180,2.25,1616.16822212268
190,2.25,1557.63156057141
200,2.25,1502.8787091862
50,2.5,1987.693642
60,2.5,1987.693642
70,2.5,1987.693642
80,2.5,1987.693642
90,2.5,1987.693642
100,2.5,1987.693642
110,2.5,1987.693642
120,2.5,1987.693642
130,2.5,1987.693642
140,2.5,1987.693642
150,2.5,1987.693642
160,2.5,1987.693642
170,2.5,1987.693642
180,2.5,1987.693642
190,2.5,1987.693642
200,2.5,1987.693642
50,2.75,1987.693642
60,2.75,1987.693642
70,2.75,1987.693642
80,2.75,1987.693642
90,2.75,1987.693642
100,2.75,1987.693642
110,2.75,1987.693642
120,2.75,1987.693642
130,2.75,1987.693642
140,2.75,1987.693642
150,2.75,1987.693642
160,2.75,1987.693642
170,2.75,1987.693642
180,2.75,1987.693642
190,2.75,1987.693642
200,2.75,1987.693642
