,Power
0,53.0218332671534
1,48.2948627135933
2,44.5154561002227
3,41.3895962235628
4,38.759237751618
5,36.5130052278752
6,34.5787940088851
7,32.884741365012
8,31.386817505891
9,30.0523777764495
10,28.8608515302547
11,27.783713285075
12,26.8040488149027
13,25.9081645974924
14,25.0783084711398
15,24.2917080924675
16,178.948687276643
17,162.995161658377
18,150.239664338252
19,139.689887254525
20,130.812427411711
21,123.231392644079
22,116.703429779987
23,110.986002106916
24,105.930509082382
25,101.426774995517
26,97.4053739146096
27,93.7700323371282
28,90.4636647502967
29,87.440055516537
30,84.6392910900969
31,81.9845148120779
32,424.174666137227
33,386.358901708746
34,356.123648801782
35,331.116769788503
36,310.073902012944
37,292.104041823002
38,276.63035207108
39,263.077930920096
40,251.094540047128
41,240.419022211596
42,230.886812242037
43,222.2697062806
44,214.432390519222
45,207.265316779939
46,200.626467769119
47,194.33366473974
48,828.466144799272
49,754.607229899895
50,695.55400156598
51,646.712440993169
52,605.613089869031
53,570.51570668555
54,540.293656388829
55,513.824083828313
56,490.419023529548
57,469.568402757024
58,450.950805160229
59,434.120520079297
60,418.813262732855
61,404.815071835819
62,391.84856986156
63,379.557938944805
64,931.9117415
65,931.9117415
66,931.9117415
67,931.9117415
68,931.9117415
69,931.9117415
70,931.9117415
71,887.888016855325
72,847.444072659058
73,811.414199964137
74,779.242991316876
75,750.160258697025
76,723.709318002373
77,699.520444132296
78,677.114328720776
79,655.876118496623
80,931.9117415
81,931.9117415
82,931.9117415
83,931.9117415
84,931.9117415
85,931.9117415
86,931.9117415
87,931.9117415
88,931.9117415
89,931.9117415
90,931.9117415
91,931.9117415
92,931.9117415
93,931.9117415
94,931.9117415
95,931.9117415
96,931.9117415
97,931.9117415
98,931.9117415
99,931.9117415
100,931.9117415
101,931.9117415
102,931.9117415
103,931.9117415
104,931.9117415
105,931.9117415
106,931.9117415
107,931.9117415
108,931.9117415
109,931.9117415
110,931.9117415
111,931.9117415
112,931.9117415
113,931.9117415
114,931.9117415
115,931.9117415
116,931.9117415
117,931.9117415
118,931.9117415
119,931.9117415
120,931.9117415
121,931.9117415
122,931.9117415
123,931.9117415
124,931.9117415
125,931.9117415
126,931.9117415
127,931.9117415
128,931.9117415
129,931.9117415
130,931.9117415
131,931.9117415
132,931.9117415
133,931.9117415
134,931.9117415
135,931.9117415
136,931.9117415
137,931.9117415
138,931.9117415
139,931.9117415
140,931.9117415
141,931.9117415
142,931.9117415
143,931.9117415
144,931.9117415
145,931.9117415
146,931.9117415
147,931.9117415
148,931.9117415
149,931.9117415
150,931.9117415
151,931.9117415
152,931.9117415
153,931.9117415
154,931.9117415
155,931.9117415
156,931.9117415
157,931.9117415
158,931.9117415
159,931.9117415
