,Power
0,51.9325493968441
1,47.4016157196374
2,43.7753701487757
3,40.7667967502504
4,38.2281717244742
5,36.0550386209467
6,34.1753462314191
7,32.5303796102812
8,31.0732935584107
9,29.7720248683206
10,28.601435726431
11,27.5473890875738
12,26.5905226797414
13,25.7144053061008
14,24.8937668602931
15,24.1136649335262
16,175.272354214349
17,159.980453053776
18,147.741874252118
19,137.587939032095
20,129.0200795701
21,121.685755345695
22,115.341793531039
23,109.790031184699
24,104.872365759636
25,100.480583930582
26,96.5298455767046
27,92.9724381705617
28,89.7430140441274
29,86.7861179080902
30,84.0164631534891
31,81.3836191506509
32,415.460395174753
33,379.2129257571
34,350.202961190206
35,326.134374002003
36,305.825373795793
37,288.440308967573
38,273.402769851353
39,260.243036882249
40,248.586348467285
41,238.176198946565
42,228.811485811448
43,220.379112700591
44,212.724181437932
45,205.715242448806
46,199.150134882345
47,192.90931946821
48,811.44608432569
49,740.650245619335
50,683.99015857462
51,636.981199222662
52,597.315183194909
53,563.359978452292
54,533.989784865923
55,508.287181410643
56,485.520211850167
57,465.18788856751
58,446.897433225484
59,430.427954493341
60,415.47691687096
61,401.787582907825
62,388.965107192079
63,376.776014586347
64,1402.17883371479
65,1279.84362443021
66,1181.93499401694
67,1100.70351225676
68,1032.1606365608
69,973.48604276556
70,922.734348248315
71,878.320249477591
72,838.978926077089
73,803.844671444657
74,772.238764613637
75,743.779505364493
76,717.944112353019
77,694.288943264721
78,672.131705227913
79,651.068953205207
80,2041.156922
81,2032.34427397946
82,1876.86899512876
83,1747.87641066699
84,1639.03286268683
85,1545.85978087309
86,1465.26796967209
87,1394.7400257908
88,1332.26746131686
89,1276.47556622925
90,1226.28655677073
91,1181.09430712973
92,1140.06865989391
93,1102.50512749907
94,1067.32025413507
95,1033.87338402494
96,2041.156922
97,2041.156922
98,2041.156922
99,2041.156922
100,2041.156922
101,2041.156922
102,2041.156922
103,2041.156922
104,1988.69078773828
105,1905.40959157252
106,1830.49188649158
107,1763.03290160472
108,1701.79345150345
109,1645.72193959045
110,1593.20107905876
111,1543.27455574568
112,2041.156922
113,2041.156922
114,2041.156922
115,2041.156922
116,2041.156922
117,2041.156922
118,2041.156922
119,2041.156922
120,2041.156922
121,2041.156922
122,2041.156922
123,2041.156922
124,2041.156922
125,2041.156922
126,2041.156922
127,2041.156922
128,2041.156922
129,2041.156922
130,2041.156922
131,2041.156922
132,2041.156922
133,2041.156922
134,2041.156922
135,2041.156922
136,2041.156922
137,2041.156922
138,2041.156922
139,2041.156922
140,2041.156922
141,2041.156922
142,2041.156922
143,2041.156922
144,2041.156922
145,2041.156922
146,2041.156922
147,2041.156922
148,2041.156922
149,2041.156922
150,2041.156922
151,2041.156922
152,2041.156922
153,2041.156922
154,2041.156922
155,2041.156922
156,2041.156922
157,2041.156922
158,2041.156922
159,2041.156922
